Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:332: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}$'.format(args.Lmax)) #L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:418: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(args.Lmax, args.zmin, args.zmax), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-25.0$
0.0<z<=1.0
Pixels masked by MC but not already by selfunc: 490
G20.5_zmin0.0zmax1.0_Lmax-25.0: 0.46              29985 vs 55261
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:126: RuntimeWarning: divide by zero encountered in divide
  return fduty/2*special.erfc(np.log(10**M_min/bins)/(np.sqrt(2)*np.log(10)*sigma))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:146: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
1it [00:00,  3.08it/s, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf < -10921.903 <    inf | logz: -10928.813 +/-  0.117 | dlogz:    inf >  0.010]
2it [00:00,  3.08it/s, bound: 0 | nc: 1 | ncall: 502 | eff(%):  0.398 | loglstar:   -inf < -10437.414 <    inf | logz: -10444.326 +/-  0.118 | dlogz: 10948.092 >  0.010]
3it [00:00,  3.08it/s, bound: 0 | nc: 1 | ncall: 503 | eff(%):  0.596 | loglstar:   -inf < -10414.870 <    inf | logz: -10421.784 +/-  0.118 | dlogz: 10463.603 >  0.010]
4it [00:01,  3.08it/s, bound: 0 | nc: 1 | ncall: 504 | eff(%):  0.794 | loglstar:   -inf < -9313.687 <    inf | logz: -9320.603 +/-  0.118 | dlogz: 10441.059 >  0.010]  
5it [00:01,  3.08it/s, bound: 0 | nc: 1 | ncall: 505 | eff(%):  0.990 | loglstar:   -inf < -9054.023 <    inf | logz: -9060.940 +/-  0.118 | dlogz: 9339.876 >  0.010] 
6it [00:01,  3.08it/s, bound: 0 | nc: 1 | ncall: 506 | eff(%):  1.186 | loglstar:   -inf < -8854.746 <    inf | logz: -8861.666 +/-  0.118 | dlogz: 9080.212 >  0.010]
7it [00:02,  3.08it/s, bound: 0 | nc: 1 | ncall: 507 | eff(%):  1.381 | loglstar:   -inf < -8728.843 <    inf | logz: -8735.765 +/-  0.118 | dlogz: 8880.935 >  0.010]
8it [00:02,  3.08it/s, bound: 0 | nc: 1 | ncall: 508 | eff(%):  1.575 | loglstar:   -inf < -8653.532 <    inf | logz: -8660.456 +/-  0.118 | dlogz: 8755.032 >  0.010]
9it [00:02,  3.08it/s, bound: 0 | nc: 1 | ncall: 509 | eff(%):  1.768 | loglstar:   -inf < -8411.561 <    inf | logz: -8418.486 +/-  0.118 | dlogz: 8679.721 >  0.010]
10it [00:03,  3.08it/s, bound: 0 | nc: 1 | ncall: 510 | eff(%):  1.961 | loglstar:   -inf < -8387.224 <    inf | logz: -8394.151 +/-  0.118 | dlogz: 8437.750 >  0.010]
11it [00:03,  3.08it/s, bound: 0 | nc: 1 | ncall: 511 | eff(%):  2.153 | loglstar:   -inf < -8304.455 <    inf | logz: -8311.385 +/-  0.118 | dlogz: 8413.413 >  0.010]
12it [00:03,  3.08it/s, bound: 0 | nc: 1 | ncall: 512 | eff(%):  2.344 | loglstar:   -inf < -8290.392 <    inf | logz: -8297.323 +/-  0.118 | dlogz: 8330.644 >  0.010]
13it [00:04,  3.08it/s, bound: 0 | nc: 1 | ncall: 513 | eff(%):  2.534 | loglstar:   -inf < -8225.058 <    inf | logz: -8231.992 +/-  0.118 | dlogz: 8316.581 >  0.010]
14it [00:04,  3.08it/s, bound: 0 | nc: 1 | ncall: 514 | eff(%):  2.724 | loglstar:   -inf < -8218.613 <    inf | logz: -8225.546 +/-  0.118 | dlogz: 8251.247 >  0.010]
15it [00:04,  3.08it/s, bound: 0 | nc: 1 | ncall: 515 | eff(%):  2.913 | loglstar:   -inf < -8200.843 <    inf | logz: -8207.781 +/-  0.118 | dlogz: 8244.799 >  0.010]
16it [00:05,  3.08it/s, bound: 0 | nc: 1 | ncall: 516 | eff(%):  3.101 | loglstar:   -inf < -7919.294 <    inf | logz: -7926.234 +/-  0.118 | dlogz: 8227.032 >  0.010]
17it [00:05,  3.08it/s, bound: 0 | nc: 1 | ncall: 517 | eff(%):  3.288 | loglstar:   -inf < -7577.009 <    inf | logz: -7583.951 +/-  0.118 | dlogz: 7945.483 >  0.010]
18it [00:05,  3.08it/s, bound: 0 | nc: 1 | ncall: 518 | eff(%):  3.475 | loglstar:   -inf < -7257.383 <    inf | logz: -7264.327 +/-  0.118 | dlogz: 7603.198 >  0.010]
19it [00:06,  3.08it/s, bound: 0 | nc: 1 | ncall: 519 | eff(%):  3.661 | loglstar:   -inf < -7162.473 <    inf | logz: -7169.419 +/-  0.118 | dlogz: 7283.572 >  0.010]
20it [00:06,  3.08it/s, bound: 0 | nc: 1 | ncall: 520 | eff(%):  3.846 | loglstar:   -inf < -7012.384 <    inf | logz: -7019.332 +/-  0.118 | dlogz: 7188.662 >  0.010]
21it [00:06,  3.08it/s, bound: 0 | nc: 1 | ncall: 521 | eff(%):  4.031 | loglstar:   -inf < -7005.570 <    inf | logz: -7012.517 +/-  0.118 | dlogz: 7038.573 >  0.010]
22it [00:07,  3.08it/s, bound: 0 | nc: 1 | ncall: 522 | eff(%):  4.215 | loglstar:   -inf < -6914.272 <    inf | logz: -6921.224 +/-  0.118 | dlogz: 7031.757 >  0.010]
23it [00:07,  2.37it/s, bound: 0 | nc: 2 | ncall: 524 | eff(%):  4.389 | loglstar:   -inf < -6852.382 <    inf | logz: -6859.335 +/-  0.118 | dlogz: 6940.461 >  0.010]
24it [00:08,  2.55it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.571 | loglstar:   -inf < -6123.703 <    inf | logz: -6130.658 +/-  0.118 | dlogz: 6878.570 >  0.010]
25it [00:08,  2.13it/s, bound: 0 | nc: 2 | ncall: 527 | eff(%):  4.744 | loglstar:   -inf < -5992.819 <    inf | logz: -5999.776 +/-  0.118 | dlogz: 6149.892 >  0.010]
26it [00:09,  2.35it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  4.924 | loglstar:   -inf < -5830.865 <    inf | logz: -5837.825 +/-  0.118 | dlogz: 6019.007 >  0.010]
27it [00:09,  2.53it/s, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.104 | loglstar:   -inf < -5795.799 <    inf | logz: -5802.761 +/-  0.118 | dlogz: 5857.054 >  0.010]
28it [00:09,  2.67it/s, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.283 | loglstar:   -inf < -5746.577 <    inf | logz: -5753.541 +/-  0.118 | dlogz: 5821.988 >  0.010]
29it [00:10,  2.78it/s, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.461 | loglstar:   -inf < -5581.375 <    inf | logz: -5588.341 +/-  0.118 | dlogz: 5772.766 >  0.010]
30it [00:10,  2.86it/s, bound: 0 | nc: 1 | ncall: 532 | eff(%):  5.639 | loglstar:   -inf < -5454.283 <    inf | logz: -5461.251 +/-  0.118 | dlogz: 5607.564 >  0.010]
31it [00:10,  2.93it/s, bound: 0 | nc: 1 | ncall: 533 | eff(%):  5.816 | loglstar:   -inf < -5369.830 <    inf | logz: -5376.800 +/-  0.118 | dlogz: 5480.472 >  0.010]
32it [00:11,  2.97it/s, bound: 0 | nc: 1 | ncall: 534 | eff(%):  5.993 | loglstar:   -inf < -5280.736 <    inf | logz: -5287.708 +/-  0.118 | dlogz: 5396.019 >  0.010]
33it [00:11,  3.00it/s, bound: 0 | nc: 1 | ncall: 535 | eff(%):  6.168 | loglstar:   -inf < -5266.680 <    inf | logz: -5273.654 +/-  0.118 | dlogz: 5306.925 >  0.010]
34it [00:11,  3.01it/s, bound: 0 | nc: 1 | ncall: 536 | eff(%):  6.343 | loglstar:   -inf < -5111.260 <    inf | logz: -5118.235 +/-  0.118 | dlogz: 5292.869 >  0.010]
35it [00:12,  3.03it/s, bound: 0 | nc: 1 | ncall: 537 | eff(%):  6.518 | loglstar:   -inf < -5036.216 <    inf | logz: -5043.194 +/-  0.118 | dlogz: 5137.449 >  0.010]
36it [00:12,  3.04it/s, bound: 0 | nc: 1 | ncall: 538 | eff(%):  6.691 | loglstar:   -inf < -5006.107 <    inf | logz: -5013.087 +/-  0.118 | dlogz: 5062.405 >  0.010]
37it [00:12,  3.05it/s, bound: 0 | nc: 1 | ncall: 539 | eff(%):  6.865 | loglstar:   -inf < -4976.970 <    inf | logz: -4983.952 +/-  0.118 | dlogz: 5032.296 >  0.010]
38it [00:12,  3.06it/s, bound: 0 | nc: 1 | ncall: 540 | eff(%):  7.037 | loglstar:   -inf < -4888.803 <    inf | logz: -4895.786 +/-  0.118 | dlogz: 5003.159 >  0.010]
39it [00:13,  3.07it/s, bound: 0 | nc: 1 | ncall: 541 | eff(%):  7.209 | loglstar:   -inf < -4826.822 <    inf | logz: -4833.808 +/-  0.118 | dlogz: 4914.992 >  0.010]
40it [00:13,  3.07it/s, bound: 0 | nc: 1 | ncall: 542 | eff(%):  7.380 | loglstar:   -inf < -4662.310 <    inf | logz: -4669.298 +/-  0.118 | dlogz: 4853.011 >  0.010]
